InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,ProductName,liked
536365,85123A,748,6,12/1/2010 8:26,2.55,59,6,WHITE HANGING HEART T-LIGHT HOLDER,1
536365,71053,750,6,12/1/2010 8:26,3.39,59,6,WHITE METAL LANTERN,1
536365,84406B,188,8,12/1/2010 8:26,2.75,59,6,CREAM CUPID HEARTS COAT HANGER,1
536365,84029G,368,6,12/1/2010 8:26,3.39,59,6,KNITTED UNION FLAG HOT WATER BOTTLE,1
536365,84029E,563,6,12/1/2010 8:26,3.39,59,6,RED WOOLLY HOTTIE WHITE HEART.,1
536365,22752,614,2,12/1/2010 8:26,7.65,59,6,SET 7 BABUSHKA NESTING BOXES,1
536365,21730,283,6,12/1/2010 8:26,4.25,59,6,GLASS STAR FROSTED T-LIGHT HOLDER,1
536366,22633,304,6,12/1/2010 8:28,1.85,59,6,HAND WARMER UNION JACK,1
536366,22632,301,6,12/1/2010 8:28,1.85,59,6,HAND WARMER RED POLKA DOT,1
536367,84879,54,32,12/1/2010 8:34,1.69,8,6,ASSORTED COLOUR BIRD ORNAMENT,1
536367,22745,520,6,12/1/2010 8:34,2.1,8,6,POPPY'S PLAYHOUSE BEDROOM ,1
536367,22748,521,6,12/1/2010 8:34,2.1,8,6,POPPY'S PLAYHOUSE KITCHEN,1
536367,22749,254,8,12/1/2010 8:34,3.75,8,6,FELTCRAFT PRINCESS CHARLOTTE DOLL,1
536367,22310,343,6,12/1/2010 8:34,1.65,8,6,IVORY KNITTED MUG COSY ,1
536367,84969,101,6,12/1/2010 8:34,4.25,8,6,BOX OF 6 ASSORTED COLOUR TEASPOONS,1
536367,22623,103,3,12/1/2010 8:34,4.95,8,6,BOX OF VINTAGE JIGSAW BLOCKS ,1
536367,22622,102,2,12/1/2010 8:34,9.95,8,6,BOX OF VINTAGE ALPHABET BLOCKS,1
536367,21754,327,3,12/1/2010 8:34,5.95,8,6,HOME BUILDING BLOCK WORD,1
536367,21755,381,3,12/1/2010 8:34,5.95,8,6,LOVE BUILDING BLOCK WORD,1
536367,21777,531,4,12/1/2010 8:34,7.95,8,6,RECIPE BOX WITH METAL HEART,1
536367,48187,212,4,12/1/2010 8:34,7.95,8,6,DOORMAT NEW ENGLAND,1
536368,22960,347,6,12/1/2010 8:34,4.25,8,6,JAM MAKING SET WITH JARS,1
536368,22913,537,3,12/1/2010 8:34,4.95,8,6,RED COAT RACK PARIS FASHION,1
536368,22912,772,3,12/1/2010 8:34,4.95,8,6,YELLOW COAT RACK PARIS FASHION,1
536368,22914,82,3,12/1/2010 8:34,4.95,8,6,BLUE COAT RACK PARIS FASHION,1
536369,21756,61,3,12/1/2010 8:35,5.95,8,6,BATH BUILDING BLOCK WORD,1
536370,22728,43,24,12/1/2010 8:45,3.75,2,2,ALARM CLOCK BAKELIKE PINK,1
536370,22727,44,24,12/1/2010 8:45,3.75,2,2,ALARM CLOCK BAKELIKE RED ,1
536370,22726,40,12,12/1/2010 8:45,3.75,2,2,ALARM CLOCK BAKELIKE GREEN,1
536370,21724,464,12,12/1/2010 8:45,0.85,2,2,PANDA AND BUNNIES STICKER SHEET,1
536370,21883,689,24,12/1/2010 8:45,0.65,2,2,STARS GIFT TAPE ,1
536370,10002,337,48,12/1/2010 8:45,0.85,2,2,INFLATABLE POLITICAL GLOBE ,1
536370,21791,735,24,12/1/2010 8:45,1.25,2,2,VINTAGE HEADS AND TAILS CARD GAME ,1
536370,21035,648,18,12/1/2010 8:45,2.95,2,2,SET/2 RED RETROSPOT TEA TOWELS ,1
536370,22326,597,24,12/1/2010 8:45,2.95,2,2,ROUND SNACK BOXES SET OF4 WOODLAND ,1
536370,22629,683,24,12/1/2010 8:45,1.95,2,2,SPACEBOY LUNCH BOX ,1
536370,22659,391,24,12/1/2010 8:45,1.95,2,2,LUNCH BOX I LOVE LONDON,1
536370,22631,170,24,12/1/2010 8:45,1.95,2,2,CIRCUS PARADE LUNCH BOX ,1
536370,22661,133,20,12/1/2010 8:45,0.85,2,2,CHARLOTTE BAG DOLLY GIRL DESIGN,1
536370,21731,561,24,12/1/2010 8:45,1.65,2,2,RED TOADSTOOL LED NIGHT LIGHT,1
536370,22900,1,24,12/1/2010 8:45,2.95,2,2, SET 2 TEA TOWELS I LOVE LONDON ,1
536370,21913,738,12,12/1/2010 8:45,3.75,2,2,VINTAGE SEASIDE JIGSAW PUZZLES,1
536370,22540,412,24,12/1/2010 8:45,0.42,2,2,MINI JIGSAW CIRCUS PARADE ,1
536370,22544,415,24,12/1/2010 8:45,0.42,2,2,MINI JIGSAW SPACEBOY,1
536370,22492,416,36,12/1/2010 8:45,0.65,2,2,MINI PAINT SET VINTAGE ,1
536370,POST,522,3,12/1/2010 8:45,18.0,2,2,POSTAGE,1
536371,22086,467,80,12/1/2010 9:00,2.55,15,6,PAPER CHAIN KIT 50'S CHRISTMAS ,1
536372,22632,301,6,12/1/2010 9:01,1.85,59,6,HAND WARMER RED POLKA DOT,1
536372,22633,304,6,12/1/2010 9:01,1.85,59,6,HAND WARMER UNION JACK,1
536373,85123A,748,6,12/1/2010 9:02,2.55,59,6,WHITE HANGING HEART T-LIGHT HOLDER,1
536373,71053,750,6,12/1/2010 9:02,3.39,59,6,WHITE METAL LANTERN,1
536373,84406B,188,8,12/1/2010 9:02,2.75,59,6,CREAM CUPID HEARTS COAT HANGER,1
536373,20679,223,6,12/1/2010 9:02,4.95,59,6,EDWARDIAN PARASOL RED,1
536373,37370,565,6,12/1/2010 9:02,1.06,59,6,RETRO COFFEE MUGS ASSORTED,1
536373,21871,605,6,12/1/2010 9:02,1.06,59,6,SAVE THE PLANET MUG,1
536373,21071,732,6,12/1/2010 9:02,1.06,59,6,VINTAGE BILLBOARD DRINK ME MUG,1
536373,21068,733,6,12/1/2010 9:02,1.06,59,6,VINTAGE BILLBOARD LOVE/HATE MUG,1
536373,82483,757,2,12/1/2010 9:02,4.95,59,6,WOOD 2 DRAWER CABINET WHITE FINISH,1
536373,82486,759,4,12/1/2010 9:02,6.95,59,6,WOOD S/3 CABINET ANT WHITE FINISH,1
536373,82482,765,6,12/1/2010 9:02,2.1,59,6,WOODEN PICTURE FRAME WHITE FINISH,1
536373,82494L,762,6,12/1/2010 9:02,2.55,59,6,WOODEN FRAME ANTIQUE WHITE ,1
536373,84029G,368,6,12/1/2010 9:02,3.39,59,6,KNITTED UNION FLAG HOT WATER BOTTLE,1
536373,84029E,563,6,12/1/2010 9:02,3.39,59,6,RED WOOLLY HOTTIE WHITE HEART.,1
536373,22752,614,2,12/1/2010 9:02,7.65,59,6,SET 7 BABUSHKA NESTING BOXES,1
536373,21730,283,6,12/1/2010 9:02,4.25,59,6,GLASS STAR FROSTED T-LIGHT HOLDER,1
536374,21258,729,32,12/1/2010 9:09,10.95,30,6,VICTORIAN SEWING BOX LARGE,1
536375,85123A,748,6,12/1/2010 9:32,2.55,59,6,WHITE HANGING HEART T-LIGHT HOLDER,1
536375,71053,750,6,12/1/2010 9:32,3.39,59,6,WHITE METAL LANTERN,1
536375,84406B,188,8,12/1/2010 9:32,2.75,59,6,CREAM CUPID HEARTS COAT HANGER,1
